imovel_Id;tipoImovel;valorImovel;areaRealPrivativa;latitude;longitude;quartos;banho;suites;vagaGaragem;valorCondominio;valorIptu;Cidade;Regiao;Bairro;Endereco
1700061;�rea Privativa;390000;75;-19,9363615;-43,918104;3;1;0;1;250;89,66;belo-horizonte;centro-sul;Serra;Rua Itaparica, 334
166981;Apartamento 3 quartos;395000;86;-19,8882816;-43,9989951;3;1;2;2;250;95,57;belo-horizonte;pampulha;Castelo;Rua Doutor Sylvio Menicucci, 75
3252984;Apartamento 3 quartos;399000;110;-19,973382;-43,970844;3;3;1;2;350;138,46;belo-horizonte;oeste;Buritis;Rua Clementino Viana Dotti, 135
359010;Cobertura;400000;150;-19,9444197;-43,9727097;3;3;1;1;300;130,94;belo-horizonte;oeste;Jardim Am�rica;Rua Indiana, 470
362492;Apartamento 3 quartos;400000;70;-19,900026;-43,929988;3;2;1;2;350;140;belo-horizonte;leste;Gra�a;Rua Juacema, 194
3258461;Apartamento 4 quartos;400000;182;-19,9410075;-43,9536516;4;1;1;1;530;163,63;belo-horizonte;centro-sul;Luxemburgo;Rua Doutor Sette C�mara, 382
3264909;Apartamento 3 quartos;415000;110;-19,8949425;-43,931467;3;3;1;1;300;105,27;belo-horizonte;nordeste;Silveira;Rua Jo�o Lourival Dias, 93
359464;Cobertura;419000;125;-19,8249256;-43,9817328;3;1;1;1;1;1;belo-horizonte;pampulha;Santa M�nica;Rua dos Uiac�s, 337
351630;Apartamento 3 quartos;420000;92;-19,888257;-43,931101;3;2;1;1;480;169,66;belo-horizonte;nordeste;Silveira;Rua Carlos Turner, 290
363529;Apartamento 2 quartos;425000;77;-19,9765803;-43,9765443;2;3;1;2;300;174,45;belo-horizonte;oeste;Buritis;Avenida Aggeo Pio Sobrinho, 401
3251730;Apartamento 4 quartos;430000;96;-19,8911655;-43,9965322;4;1;1;2;289;125;belo-horizonte;pampulha;Castelo;Rua Romualdo Lopes Can�ado, 582
3259525;Apartamento 3 quartos;430000;97;-19,9733982;-43,9697311;3;3;1;2;503,82;163,4;belo-horizonte;oeste;Buritis;Rua Clementino Viana Dotti, 111
1660535;Apartamento 4 quartos;440000;148;-19,9308054;-43,9140678;4;3;1;2;350;123,6;belo-horizonte;leste;S�o Lucas;Rua N�sio Batista de Oliveira, 158
1831648;Apartamento 3 quartos;440000;90;-19,8940422;-43,930791;3;1;1;3;546;138;belo-horizonte;nordeste;Silveira;Rua Biaggio Polizzi, 241
1893643;Casa;450000;300;-19,9328385;-43,9189842;2;1;0;1;0;249,57;belo-horizonte;centro-sul;Santa Efig�nia;Rua Cervantes, 125
3246842;�rea Privativa;450000;111;-19,9430549;-43,9550939;3;2;1;1;250;152,35;belo-horizonte;centro-sul;Luxemburgo;Rua Doutor Sette C�mara, 215
